input,time
49,531
50,806
51,653
52,1156
53,1157
54,7604
55,7609
56,8424
57,8529
58,16224
59,16225
60,22402
61,20101
62,21704
63,1975
64,154
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,31
30,32
31,33
32,34
33,35
34,38
35,39
36,42
37,43
38,44
39,45
40,46
41,53
42,54
43,55
44,72
45,75
46,110
47,117
48,120
49,297
50,540
51,701
52,914
53,923
54,1218
55,1221
56,2986
57,6517
58,758
59,821
60,874
61,793
62,706
63,737
64,774
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,15
14,16
15,17
16,18
17,21
18,22
19,23
20,24
21,27
22,28
23,29
24,30
25,31
26,32
27,37
28,38
29,57
30,58
31,59
32,60
33,61
34,104
35,113
36,114
37,117
38,120
39,121
40,122
41,123
42,124
43,175
44,176
45,179
46,718
47,2467
48,4334
49,4497
50,4622
51,5023
52,19654
53,23129
54,23412
55,14097
56,33866
57,31153
58,61740
59,63165
60,55158
61,6315
62,3778
63,133215
64,448004
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,31
30,32
31,35
32,36
33,37
34,38
35,57
36,60
37,65
38,50
39,51
40,52
41,53
42,92
43,127
44,128
45,129
46,130
47,135
48,238
49,335
50,354
51,355
52,356
53,395
54,708
55,721
56,750
57,771
58,788
59,641
60,652
61,661
62,666
63,193
64,912
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,22
21,27
22,28
23,29
24,30
25,31
26,34
27,29
28,30
29,31
30,36
31,37
32,40
33,41
34,44
35,45
36,128
37,129
38,132
39,133
40,138
41,157
42,166
43,167
44,984
45,1055
46,1056
47,1085
48,1086
49,1087
50,4712
51,6155
52,7896
53,7899
54,20232
55,63925
56,130
57,17805
58,986
59,987
60,2296
61,855
62,1642
63,2933
64,5444
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,26
25,27
26,30
27,33
28,34
29,35
30,36
31,49
32,56
33,57
34,58
35,57
36,58
37,59
38,90
39,91
40,98
41,65
42,122
43,123
44,124
45,413
46,312
47,323
48,412
49,1741
50,1750
51,6325
52,2302
53,29021
54,580
55,685
56,726
57,1021
58,1194
59,477
60,478
61,941
62,950
63,155
64,164
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,40
39,41
40,48
41,101
42,102
43,103
44,104
45,109
46,110
47,119
48,70
49,63
50,72
51,155
52,62
53,69
54,84
55,103
56,104
57,197
58,514
59,531
60,116
61,1797
62,222
63,3087
64,47014
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,19
18,20
19,21
20,24
21,25
22,26
23,29
24,40
25,45
26,54
27,55
28,58
29,59
30,66
31,77
32,78
33,81
34,124
35,125
36,128
37,163
38,164
39,359
40,364
41,365
42,376
43,387
44,390
45,397
46,406
47,409
48,942
49,1587
50,1874
51,2553
52,3194
53,3555
54,5392
55,9671
56,15990
57,18265
58,382376
59,16753
60,15752
61,21125
62,72636
63,7037
64,6234
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,20
19,21
20,22
21,23
22,24
23,25
24,26
25,27
26,28
27,29
28,32
29,37
30,42
31,45
32,46
33,53
34,54
35,55
36,68
37,81
38,84
39,75
40,76
41,77
42,84
43,85
44,96
45,117
46,118
47,131
48,208
49,267
50,574
51,575
52,1040
53,1043
54,1360
55,14857
56,16928
57,63775
58,71698
59,18811
60,22690
61,24889
62,352
63,463
64,616
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,13
12,14
13,15
14,16
15,17
16,18
17,19
18,20
19,21
20,22
21,23
22,24
23,25
24,26
25,27
26,28
27,29
28,30
29,37
30,38
31,39
32,46
33,59
34,60
35,61
36,62
37,63
38,96
39,97
40,98
41,99
42,100
43,101
44,234
45,359
46,238
47,243
48,666
